Cause of death,NICU Admission,Antibiotics for Mother,Mother's Pre-pregnancy BMI,Infant birth weight,Deaths,Births,Death rate per 1000,Year
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,17.0,54180.0,0.31 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,24.0,20990.0,1.15,2020
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,34.0,46108.0,0.74,2020
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,22.0,36099.0,0.61,2020
Sudden infant death syndrome - SIDS,No,No,Unknown or Not Stated,2500 - 2999 grams,10.0,7667.0,1.31 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,12.0,12756.0,0.95 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,10.0,15417.0,0.65 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,21.0,62792.0,0.34,2020
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,17.0,117553.0,0.15 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,16.0,39883.0,0.40 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,12.0,81580.0,0.15 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,12.0,58139.0,0.21 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,10.0,24265.0,0.41 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,14.0,50363.0,0.28 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,Yes,Extreme Obesity III > 39.9,3000 - 3499 grams,11.0,20193.0,0.55 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Underweight <18.5,2500 - 2999 grams,10.0,20727.0,0.48 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2000 - 2499 grams,16.0,35886.0,0.45 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2500 - 2999 grams,63.0,200809.0,0.31,2020
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3000 - 3499 grams,70.0,429659.0,0.16,2020
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3500 - 3999 grams,38.0,263142.0,0.14,2020
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2000 - 2499 grams,14.0,20467.0,0.69 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2500 - 2999 grams,36.0,114685.0,0.32,2020
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3000 - 3499 grams,57.0,269802.0,0.21,2020
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3500 - 3999 grams,16.0,192826.0,0.08 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,27.0,62906.0,0.43,2020
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,42.0,148865.0,0.28,2020
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,22.0,111507.0,0.2,2020
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,18.0,29940.0,0.60 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,19.0,69913.0,0.27 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,16.0,54180.0,0.30 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,15.0,20990.0,0.72 (Unreliable),2020
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,16.0,46108.0,0.35 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,17.0,62792.0,0.27 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,23.0,117553.0,0.2,2020
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,15.0,39883.0,0.38 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,31.0,81580.0,0.38,2020
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,10.0,58139.0,0.17 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,13.0,24265.0,0.54 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,17.0,50363.0,0.34 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,Yes,Extreme Obesity III > 39.9,2500 - 2999 grams,10.0,10028.0,1.00 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2000 - 2499 grams,20.0,35886.0,0.56,2020
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2500 - 2999 grams,42.0,200809.0,0.21,2020
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3000 - 3499 grams,72.0,429659.0,0.17,2020
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3500 - 3999 grams,28.0,263142.0,0.11,2020
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,2000 - 2499 grams,12.0,20467.0,0.59 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,2500 - 2999 grams,31.0,114685.0,0.27,2020
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3000 - 3499 grams,49.0,269802.0,0.18,2020
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3500 - 3999 grams,25.0,192826.0,0.13,2020
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,2000 - 2499 grams,13.0,11776.0,1.11 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,23.0,62906.0,0.37,2020
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,35.0,148865.0,0.24,2020
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,17.0,111507.0,0.15 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,12.0,29940.0,0.40 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,27.0,69913.0,0.39,2020
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,15.0,54180.0,0.28 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,11.0,20990.0,0.53 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,16.0,46108.0,0.35 (Unreliable),2020
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,15.0,36099.0,0.42 (Unreliable),2020
Unspecified threat to breathing,No,No,Normal 18.5-24.9,3000 - 3499 grams,10.0,429659.0,0.02 (Unreliable),2020
Other and unspecified gastroenteritis and colitis of infectious origin,Yes,No,Normal 18.5-24.9,500 - 749 grams,11.0,1141.0,9.68 (Unreliable),2021
Newborn affected by incompetent cervix,No,Yes,Normal 18.5-24.9,499 grams or less,11.0,175.0,63.20 (Unreliable),2021
Newborn affected by incompetent cervix,No,Yes,Obesity I 30.0-34.9,499 grams or less,10.0,144.0,70.92 (Unreliable),2021
Newborn affected by incompetent cervix,No,No,Normal 18.5-24.9,499 grams or less,36.0,646.0,56.29,2021
Newborn affected by incompetent cervix,No,No,Overweight 25.0-29.9,499 grams or less,53.0,685.0,77.73,2021
Newborn affected by incompetent cervix,No,No,Overweight 25.0-29.9,500 - 749 grams,12.0,184.0,65.86 (Unreliable),2021
Newborn affected by incompetent cervix,No,No,Obesity I 30.0-34.9,499 grams or less,44.0,526.0,83.05,2021
Newborn affected by incompetent cervix,No,No,Obesity II 35.0-39.9,499 grams or less,31.0,287.0,106.61,2021
Newborn affected by incompetent cervix,No,No,Extreme Obesity III > 39.9,499 grams or less,28.0,275.0,103.49,2021
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,499 grams or less,17.0,175.0,98.48 (Unreliable),2021
Newborn affected by premature rupture of membranes,No,Yes,Overweight 25.0-29.9,499 grams or less,26.0,173.0,152.5,2021
Newborn affected by premature rupture of membranes,No,Yes,Obesity I 30.0-34.9,499 grams or less,20.0,144.0,140.97,2021
Newborn affected by premature rupture of membranes,No,Yes,Extreme Obesity III > 39.9,499 grams or less,11.0,73.0,151.75 (Unreliable),2021
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,499 grams or less,65.0,646.0,100.68,2021
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,500 - 749 grams,10.0,202.0,50.67 (Unreliable),2021
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,499 grams or less,65.0,685.0,95.14,2021
Newborn affected by premature rupture of membranes,No,No,Obesity I 30.0-34.9,499 grams or less,53.0,526.0,99.9,2021
Newborn affected by premature rupture of membranes,No,No,Obesity II 35.0-39.9,499 grams or less,25.0,287.0,87.8,2021
Newborn affected by premature rupture of membranes,No,No,Extreme Obesity III > 39.9,499 grams or less,25.0,275.0,92.27,2021
Newborn affected by premature rupture of membranes,No,No,Unknown or Not Stated,499 grams or less,21.0,159.0,134.45,2021
Newborn affected by multiple pregnancy,No,No,Normal 18.5-24.9,499 grams or less,10.0,646.0,15.57 (Unreliable),2021
Newborn affected by multiple pregnancy,No,No,Overweight 25.0-29.9,499 grams or less,10.0,685.0,14.95 (Unreliable),2021
Newborn affected by multiple pregnancy,No,No,Obesity I 30.0-34.9,499 grams or less,11.0,526.0,21.07 (Unreliable),2021
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,499 grams or less,26.0,646.0,40.77,2021
Newborn affected by other forms of placental separation and haemorrhage,No,No,Overweight 25.0-29.9,499 grams or less,14.0,685.0,20.65 (Unreliable),2021
Newborn affected by other forms of placental separation and haemorrhage,No,No,Obesity I 30.0-34.9,499 grams or less,18.0,526.0,34.64 (Unreliable),2021
Newborn affected by chorioamnionitis,No,Yes,Normal 18.5-24.9,499 grams or less,15.0,175.0,86.64 (Unreliable),2021
Newborn affected by chorioamnionitis,No,Yes,Obesity I 30.0-34.9,499 grams or less,12.0,144.0,83.96 (Unreliable),2021
Newborn affected by chorioamnionitis,No,Yes,Obesity II 35.0-39.9,499 grams or less,12.0,75.0,161.88 (Unreliable),2021
Newborn affected by chorioamnionitis,No,No,Normal 18.5-24.9,499 grams or less,14.0,646.0,21.96 (Unreliable),2021
Newborn affected by chorioamnionitis,No,No,Overweight 25.0-29.9,499 grams or less,13.0,685.0,19.26 (Unreliable),2021
Newborn affected by chorioamnionitis,No,No,Obesity I 30.0-34.9,499 grams or less,17.0,526.0,32.49 (Unreliable),2021
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,499 grams or less,19.0,146.0,132.82 (Unreliable),2021
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,29.0,829.0,35.58,2021
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,499 grams or less,10.0,132.0,77.68 (Unreliable),2021
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,25.0,756.0,33.71,2021
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,499 grams or less,11.0,120.0,93.16 (Unreliable),2021
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,22.0,634.0,35.21,2021
Extreme immaturity,Yes,Yes,Obesity II 35.0-39.9,499 grams or less,15.0,100.0,152.51 (Unreliable),2021
Extreme immaturity,Yes,Yes,Obesity II 35.0-39.9,500 - 749 grams,12.0,353.0,34.90 (Unreliable),2021
Extreme immaturity,Yes,No,Normal 18.5-24.9,499 grams or less,38.0,225.0,168.42,2021
Extreme immaturity,Yes,No,Normal 18.5-24.9,500 - 749 grams,44.0,1141.0,38.26,2021
Extreme immaturity,Yes,No,Overweight 25.0-29.9,499 grams or less,39.0,236.0,164.76,2021
Extreme immaturity,Yes,No,Overweight 25.0-29.9,500 - 749 grams,36.0,943.0,38.52,2021
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,499 grams or less,27.0,213.0,128.24,2021
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,22.0,742.0,29.87,2021
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,499 grams or less,17.0,117.0,146.30 (Unreliable),2021
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,500 - 749 grams,17.0,477.0,36.48 (Unreliable),2021
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,499 grams or less,10.0,104.0,98.78 (Unreliable),2021
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,10.0,384.0,26.60 (Unreliable),2021
Extreme immaturity,Yes,No,Unknown or Not Stated,500 - 749 grams,14.0,150.0,95.41 (Unreliable),2021
Extreme immaturity,No,Yes,Normal 18.5-24.9,499 grams or less,61.0,175.0,347.24,2021
Extreme immaturity,No,Yes,Normal 18.5-24.9,500 - 749 grams,17.0,95.0,182.13 (Unreliable),2021
Extreme immaturity,No,Yes,Overweight 25.0-29.9,499 grams or less,49.0,173.0,285.94,2021
Extreme immaturity,No,Yes,Overweight 25.0-29.9,500 - 749 grams,10.0,81.0,126.50 (Unreliable),2021
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,499 grams or less,49.0,144.0,338.81,2021
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,500 - 749 grams,12.0,65.0,188.29 (Unreliable),2021
Extreme immaturity,No,Yes,Obesity II 35.0-39.9,499 grams or less,21.0,75.0,284.14,2021
Extreme immaturity,No,Yes,Extreme Obesity III > 39.9,499 grams or less,25.0,73.0,346.78,2021
Extreme immaturity,No,Yes,Unknown or Not Stated,499 grams or less,10.0,31.0,327.98 (Unreliable),2021
Extreme immaturity,No,No,Underweight <18.5,499 grams or less,30.0,69.0,440.02,2021
Extreme immaturity,No,No,Normal 18.5-24.9,499 grams or less,246.0,646.0,380.35,2021
Extreme immaturity,No,No,Normal 18.5-24.9,500 - 749 grams,41.0,202.0,201.49,2021
Extreme immaturity,No,No,Overweight 25.0-29.9,499 grams or less,237.0,685.0,346.6,2021
Extreme immaturity,No,No,Overweight 25.0-29.9,500 - 749 grams,39.0,184.0,210.28,2021
Extreme immaturity,No,No,Obesity I 30.0-34.9,499 grams or less,202.0,526.0,384.19,2021
Extreme immaturity,No,No,Obesity I 30.0-34.9,500 - 749 grams,26.0,136.0,194.25,2021
Extreme immaturity,No,No,Obesity II 35.0-39.9,499 grams or less,120.0,287.0,419.6,2021
Extreme immaturity,No,No,Obesity II 35.0-39.9,500 - 749 grams,11.0,83.0,134.51 (Unreliable),2021
Extreme immaturity,No,No,Extreme Obesity III > 39.9,499 grams or less,111.0,275.0,405.05,2021
Extreme immaturity,No,No,Unknown or Not Stated,499 grams or less,64.0,159.0,402.7,2021
Other preterm infants,No,Yes,Normal 18.5-24.9,499 grams or less,12.0,175.0,69.01 (Unreliable),2021
Other preterm infants,No,Yes,Overweight 25.0-29.9,499 grams or less,22.0,173.0,129.15,2021
Other preterm infants,No,Yes,Obesity I 30.0-34.9,499 grams or less,18.0,144.0,127.81 (Unreliable),2021
Other preterm infants,No,Yes,Obesity II 35.0-39.9,499 grams or less,14.0,75.0,188.13 (Unreliable),2021
Other preterm infants,No,No,Underweight <18.5,499 grams or less,12.0,69.0,177.94 (Unreliable),2021
Other preterm infants,No,No,Normal 18.5-24.9,499 grams or less,72.0,646.0,111.76,2021
Other preterm infants,No,No,Normal 18.5-24.9,500 - 749 grams,13.0,202.0,64.83 (Unreliable),2021
Other preterm infants,No,No,Overweight 25.0-29.9,499 grams or less,90.0,685.0,130.78,2021
Other preterm infants,No,No,Obesity I 30.0-34.9,499 grams or less,59.0,526.0,112.39,2021
Other preterm infants,No,No,Obesity I 30.0-34.9,500 - 749 grams,11.0,136.0,81.84 (Unreliable),2021
Other preterm infants,No,No,Obesity II 35.0-39.9,499 grams or less,38.0,287.0,131.22,2021
Other preterm infants,No,No,Extreme Obesity III > 39.9,499 grams or less,35.0,275.0,128.54,2021
Other preterm infants,No,No,Unknown or Not Stated,499 grams or less,14.0,159.0,89.35 (Unreliable),2021
Respiratory distress syndrome of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,16.0,829.0,19.42 (Unreliable),2021
Respiratory distress syndrome of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,25.0,756.0,33.68,2021
Respiratory distress syndrome of newborn,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,10.0,634.0,15.93 (Unreliable),2021
Respiratory distress syndrome of newborn,Yes,Yes,Extreme Obesity III > 39.9,500 - 749 grams,10.0,300.0,33.69 (Unreliable),2021
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,499 grams or less,11.0,225.0,49.10 (Unreliable),2021
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,30.0,1141.0,26.56,2021
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,20.0,943.0,21.51,2021
Respiratory distress syndrome of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,15.0,742.0,20.36 (Unreliable),2021
Bronchopulmonary dysplasia originating in the perinatal period,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,10.0,756.0,13.30 (Unreliable),2021
Primary atelectasis of newborn,No,No,Obesity I 30.0-34.9,499 grams or less,11.0,526.0,21.53 (Unreliable),2021
Neonatal cardiac failure,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,12.0,829.0,14.68 (Unreliable),2021
Neonatal cardiac failure,No,No,Obesity I 30.0-34.9,499 grams or less,11.0,526.0,21.10 (Unreliable),2021
Neonatal cardiac dysrhythmia,Yes,No,Normal 18.5-24.9,500 - 749 grams,11.0,1141.0,9.69 (Unreliable),2021
Neonatal cardiac dysrhythmia,No,No,Overweight 25.0-29.9,499 grams or less,15.0,685.0,22.16 (Unreliable),2021
Neonatal cardiac dysrhythmia,No,No,Obesity I 30.0-34.9,499 grams or less,14.0,526.0,27.12 (Unreliable),2021
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Normal 18.5-24.9,500 - 749 grams,12.0,829.0,14.55 (Unreliable),2021
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,18.0,756.0,24.20 (Unreliable),2021
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,15.0,634.0,24.10 (Unreliable),2021
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,26.0,1141.0,23.01,2021
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,500 - 749 grams,18.0,943.0,19.34 (Unreliable),2021
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity I 30.0-34.9,500 - 749 grams,16.0,742.0,21.61 (Unreliable),2021
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity I 30.0-34.9,750 - 999 grams,12.0,935.0,13.07 (Unreliable),2021
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,19.0,829.0,23.38 (Unreliable),2021
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,10.0,756.0,13.38 (Unreliable),2021
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,17.0,1141.0,15.13 (Unreliable),2021
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,17.0,943.0,18.30 (Unreliable),2021
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Overweight 25.0-29.9,750 - 999 grams,12.0,1218.0,9.99 (Unreliable),2021
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,11.0,742.0,15.15 (Unreliable),2021
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,11.0,384.0,29.17 (Unreliable),2021
Necrotizing enterocolitis of newborn,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,10.0,634.0,15.91 (Unreliable),2021
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,11.0,1141.0,9.66 (Unreliable),2021
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,750 - 999 grams,15.0,1488.0,10.16 (Unreliable),2021
Necrotizing enterocolitis of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,10.0,943.0,10.60 (Unreliable),2021
Necrotizing enterocolitis of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,15.0,742.0,20.42 (Unreliable),2021
Necrotizing enterocolitis of newborn,Yes,No,Obesity II 35.0-39.9,500 - 749 grams,12.0,477.0,25.37 (Unreliable),2021
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,13.0,13137.0,1.00 (Unreliable),2021
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,3000 - 3499 grams,14.0,14821.0,0.95 (Unreliable),2021
Anencephaly,No,No,Normal 18.5-24.9,1500 - 1999 grams,13.0,2725.0,4.90 (Unreliable),2021
Anencephaly,No,No,Normal 18.5-24.9,2000 - 2499 grams,14.0,36731.0,0.39 (Unreliable),2021
Anencephaly,No,No,Overweight 25.0-29.9,1500 - 1999 grams,15.0,1910.0,7.92 (Unreliable),2021
Anencephaly,No,No,Overweight 25.0-29.9,2000 - 2499 grams,10.0,21470.0,0.47 (Unreliable),2021
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2500 - 2999 grams,19.0,13588.0,1.41 (Unreliable),2021
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,3000 - 3499 grams,10.0,14821.0,0.68 (Unreliable),2021
"Congenital malformation of heart, unspecified",Yes,No,Overweight 25.0-29.9,3000 - 3499 grams,17.0,11172.0,1.55 (Unreliable),2021
Congenital diaphragmatic hernia,Yes,No,Normal 18.5-24.9,2500 - 2999 grams,11.0,13588.0,0.82 (Unreliable),2021
"Edwards syndrome, unspecified",Yes,Yes,Normal 18.5-24.9,1500 - 1999 grams,10.0,7457.0,1.36 (Unreliable),2021
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,1500 - 1999 grams,14.0,9359.0,1.51 (Unreliable),2021
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,13.0,13137.0,1.01 (Unreliable),2021
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,1500 - 1999 grams,18.0,6742.0,2.69 (Unreliable),2021
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,2000 - 2499 grams,14.0,9378.0,1.50 (Unreliable),2021
"Edwards syndrome, unspecified",Yes,No,Obesity I 30.0-34.9,1500 - 1999 grams,16.0,4705.0,3.44 (Unreliable),2021
"Edwards syndrome, unspecified",Yes,No,Obesity I 30.0-34.9,2000 - 2499 grams,11.0,6144.0,1.80 (Unreliable),2021
"Edwards syndrome, unspecified",No,No,Normal 18.5-24.9,1500 - 1999 grams,12.0,2725.0,4.45 (Unreliable),2021
"Edwards syndrome, unspecified",No,No,Overweight 25.0-29.9,1500 - 1999 grams,21.0,1910.0,11.12,2021
"Edwards syndrome, unspecified",No,No,Obesity I 30.0-34.9,1500 - 1999 grams,11.0,1145.0,9.72 (Unreliable),2021
"Patau syndrome, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,11.0,13137.0,0.85 (Unreliable),2021
"Patau syndrome, unspecified",No,No,Normal 18.5-24.9,1500 - 1999 grams,11.0,2725.0,4.10 (Unreliable),2021
"Patau syndrome, unspecified",No,No,Normal 18.5-24.9,2500 - 2999 grams,10.0,200211.0,0.05 (Unreliable),2021
Sudden infant death syndrome - SIDS,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,14.0,13137.0,1.07 (Unreliable),2021
Sudden infant death syndrome - SIDS,Yes,No,Overweight 25.0-29.9,1500 - 1999 grams,13.0,6742.0,1.94 (Unreliable),2021
Sudden infant death syndrome - SIDS,Yes,No,Overweight 25.0-29.9,2500 - 2999 grams,12.0,9709.0,1.24 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,12.0,15624.0,0.78 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,30.0,62140.0,0.49,2021
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,24.0,115817.0,0.21,2021
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,14.0,70139.0,0.20 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,21.0,40837.0,0.52,2021
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,33.0,83686.0,0.4,2021
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,16.0,25178.0,0.64 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,15.0,52022.0,0.29 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,Yes,Obesity II 35.0-39.9,2500 - 2999 grams,13.0,13387.0,0.98 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,Yes,Obesity II 35.0-39.9,3000 - 3499 grams,15.0,27199.0,0.55 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,Yes,Extreme Obesity III > 39.9,3000 - 3499 grams,12.0,21148.0,0.57 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,Yes,Extreme Obesity III > 39.9,3500 - 3999 grams,11.0,15952.0,0.70 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2000 - 2499 grams,31.0,36731.0,0.85,2021
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2500 - 2999 grams,88.0,200211.0,0.44,2021
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3000 - 3499 grams,99.0,423796.0,0.23,2021
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3500 - 3999 grams,43.0,257938.0,0.17,2021
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2000 - 2499 grams,15.0,21470.0,0.70 (Unreliable),2021
